,Analysis,Polarity,Profanity,Subjectivity,author id,compound,for,id,neg,neu,pos,text,type,Gender,Activist
10,Neutral,0.0,False,0.0,3035456878,0.0,21456548,1489689585542119440,0.0,1.0,0.0, nothing legitimate about it. https://t.co/VViawFN54X,Mention,Male,True
11,Positive,0.1361111111111111,False,0.3055555555555555,3130741773,0.8442,21456548,1489688645976006658,0.0,0.818,0.182,  It means that they maintain epistemic rich wyt male privilege to determine the narratives and construct social norms that benefit them and oppress the rest of us. They are claiming their devine entitlement and situating their perceived legitimacy as the ruling class.,Mention,Male,True
12,Positive,0.25,False,0.3125,52878071,0.6124,21456548,1489687628530294793,0.0,0.8,0.2," mostly it has to do with whether the people involved look like them, talk like them, go to the same churches",Mention,Male,True
13,Negative,-1.0,False,1.0,1101113420764581888,-0.5267,21456548,1489687051045904393,0.531,0.469,0.0, They're disgusting smdh,Mention,Male,True
14,Negative,-0.0277777777777777,True,0.5555555555555556,159476726,-0.0857,21456548,1489423175528194048,0.081,0.805,0.114,"  Earlier today I posted on FB about C&amp; the increased number of books about and/or by Black people. I shared this in the comments. My sister-in-law, an associate professor at a local college, responded with ""The level of STUPID surrounding this whole issue is astounding.""",Mention,Male,True
15,Positive,0.4375,False,0.65,2393038355,0.9041,21456548,1489212472745676800,0.0,0.455,0.545, hoping you and accept the collegefundchallenge to help my college dream come true! https://t.co/Leetc6I0eb,Mention,Male,True
16,Negative,-0.3083333333333333,True,0.4916666666666667,1419837538685046789,-0.7003,21456548,1489057384114888708,0.244,0.756,0.0,  A person has to wonder why proper forest fire management wasn't done. Saving some money for other stupid stuff?,Mention,Male,True
17,Positive,0.2348484848484848,False,0.5606060606060606,892340299,-0.0258,21456548,1489044093619552261,0.12,0.763,0.118,"  The people who say ""We Need Bold New Idea to Combat Climate Change” are the ones who is refusing to just listen for that change they speak of. Inverted Transfer Energy eco-tech is designed to maintain the battery bank charged for off-grid renewable energy system whenever needed. https://t.co/5azUrMZemk",Mention,Male,True
18,Neutral,0.0,False,0.0,987949034911383552,0.0,21456548,1489027137722253312,0.0,1.0,0.0,"  Gen.McInerney/Flynn-Genocide-CovidFentanyl-Evil Enterprise-'HammerandScorecard'fraud/etc explained.Ledby Barack Hussein Obama(Rice,Clapper,Brennan,Gates,Soros,Clinton,Biden,etc) Masonic/judiciary/military/congress.Post Olympicglobalspread.
https://t.co/5nGyfp4RYo",Mention,Male,True
19,Neutral,0.0,False,0.0,1308541572955467778,0.0,21456548,1489005266792325124,0.0,1.0,0.0," ...
Others won't hear the dog whistle, just Kennedy being faux folksy, albeit pathologically opposed to anything hinting of judicial activism.",Mention,Male,True
20,Positive,0.1287878787878787,False,0.3181818181818182,1308541572955467778,-0.7717,21456548,1489004727387971592,0.19,0.723,0.087," Re ""This isn't a dogwhistle, it's a bullhorn"":

Well, bullhorn to people who are either

a. Already convinced that Kennedy is a racist, which primes them to find an offensive meaning in the J Crew phrase, or

b. Aware that racists have recently adopted ""woke"" as a new n-word....",Mention,Male,True
21,Neutral,0.0,False,0.0,1462034006468403204,0.0,21456548,1488929491435012101,0.0,1.0,0.0, https://t.co/dKCwEF36be,Mention,Male,True
22,Neutral,0.0,False,0.0,1351552880487108610,0.0,21456548,1488918075302989828,0.0,1.0,0.0,"_Black_Jedi  aahhh, makes sense",Mention,Male,True
23,Neutral,0.0,False,0.0625,3433599424,-0.4329,21456548,1488917168557379585,0.226,0.673,0.101,  Are these the same white supremacist that attacked Jussie Smollett?? 🤔,Mention,Male,True
24,Neutral,0.0,False,0.0,3433599424,0.0,21456548,1488916212193112069,0.0,1.0,0.0,  Jussie Smollett told them…,Mention,Male,True
25,Neutral,0.0,False,0.0,17410792,0.0,21456548,1488604233633042434,0.0,1.0,0.0,"Hold your horses, Ivermectin stans           _Kosuth     https://t.co/hs8edqCP6G",Mention,Male,True
26,Neutral,0.0,False,0.0,1351552880487108610,0.1531,21456548,1488599422967730177,0.091,0.795,0.114," ""white nationalists have targeted""
How do you know this?
The article didn't say that they had any suspects or persons of interest.",Mention,Male,True
27,Neutral,0.0,False,0.0,1377725744776933382,-0.5267,21456548,1488454320727248898,0.207,0.793,0.0,         My Civil-rights were violated. https://t.co/9zo6hZxoAc,Mention,Male,True
28,Positive,0.0666666666666666,True,0.7333333333333334,1457372124348305412,-0.5423,21456548,1488354222890487815,0.108,0.892,0.0, Gee. Evidence means fuck all to some folks now don’t it. And when the prosecutions own witnesses didn’t testify the way they wanted them to? Must’ve been a different trial.,Mention,Male,True
29,Neutral,0.0,False,0.0,1487660163641143296,0.0,21456548,1488332622249877508,0.0,1.0,0.0,"لَیۡلَۃُ  الۡقَدۡرِ   ۬ ۙ خَیۡرٌ  مِّنۡ  اَلۡفِ شَہۡرٍ ؕ﴿ؔ۳﴾
 شب قدر ایک ہزار مہینوں سے بہتر ہے ۔  
نماز_قائم_کرو 
خاتم_النبیین_محمدﷺ 
",Mention,Male,True
30,Negative,-0.2172981770833333,False,0.4541666666666666,1161457548,-0.9175,21456548,1488327392233930762,0.27,0.73,0.0," Exactly!!! And those very vicious racists, revisionists, and pseudo white supremacists are also attempting to socio-politically paint all Black cultural, educational and very painful history here in America with the utterly FALSE narrative brush and label of CriticalRaceTheory!",Mention,Male,True
31,Positive,0.475,False,0.475,279625079,0.7332,151967576,1518735534037811210,0.182,0.589,0.229,"  : Hatred is not the way. Neither is fear. The cowards in the above video will get theirs a.k.a. karma. Or maybe they won't.

But we have to put our best foot forward through protest, art, and, most importantly, meritorious litigation via lawsuits to make them stop.",Mention,Male,True
32,Positive,0.4839015151515151,False,0.4696969696969697,1047223647595839488,0.8553,151967576,1518732899339669505,0.106,0.447,0.447,    Positive Black Power at its Best keep up the good fight! ❤,Mention,Male,True
33,Neutral,0.0,False,0.0,1455980217898520578,0.0,151967576,1518731826243768321,0.0,1.0,0.0, 💔💔💔💔💔💔,Mention,Male,True
34,Neutral,0.0,False,0.0,717337177,-0.2732,151967576,1518723782474706948,0.344,0.656,0.0,  blocked - Done ✔️,Mention,Male,True
35,Neutral,0.0,False,0.0,717337177,0.0,151967576,1518723471009845255,0.0,1.0,0.0,  go away,Mention,Male,True
36,Negative,-0.1666666666666666,False,0.4333333333333333,717337177,0.5267,151967576,1518721899303522304,0.0,0.841,0.159,   for you to think that a black child and his family don’t deserve justice is your bigotry,Mention,Male,True
37,Positive,0.3428571428571428,False,0.4678571428571428,1385666555426578435,-0.3291,151967576,1518719712192040966,0.126,0.821,0.052," Mr Crump. Can you please look into this story. Idk these ppl at all, but this story doesn't sound right and screams of coverup
JusticeForShed

https://t.co/SwxGe9pwXF https://t.co/80zsoqq58m https://t.co/eSMaUC8cLY",Mention,Male,True
38,Positive,0.1,False,0.4,1494050959881764864,0.0,151967576,1518716688845262849,0.0,1.0,0.0, My heart continues to be with the young man’s family.,Mention,Male,True
39,Neutral,0.0,False,0.1,33591930,-0.8555,151967576,1518716632125919234,0.251,0.749,0.0,HAPPENING TOMORROW:  will hold a press conference in Orlando tomorrow discussing the filing of a lawsuit in the death if Tyre Sampson who died following a fall from a ride at ICON Park. https://t.co/HVpymIU9DV,Mention,Male,True
40,Positive,0.5,False,0.5,474545548,0.5256,151967576,1518716076149944320,0.0,0.747,0.253,   you should probably focus on getting more friends,Mention,Male,True
41,Neutral,0.0,False,0.0,3805176615,0.3612,151967576,1518714900583010304,0.0,0.444,0.556, Thank you,Mention,Male,True
42,Negative,-0.05,False,0.2,815968436799078400,0.1027,151967576,1518712056119185408,0.082,0.776,0.142, I want to start a class action lawsuit on behalf of workers in Republican States that were permanently disabled. Would I have a chance.,Mention,Male,True
43,Neutral,0.0,False,0.0,717337177,0.4939,151967576,1518711638534328323,0.0,0.61,0.39,   and don’t care,Mention,Male,True
44,Neutral,0.0,False,0.0,346020368,0.4019,151967576,1518707602221420544,0.0,0.69,0.31,    Yes ma’am ✊🏾❤️🇺🇸,Mention,Male,True
45,Negative,-0.05,False,0.05,69221077,0.0772,151967576,1518705392007622656,0.0,0.874,0.126,  &lt;sigh&gt; He's a civil rights attorney. What's your excuse?,Mention,Male,True
46,Negative,-0.03125,False,0.46875,69221077,0.4019,151967576,1518705212390739968,0.0,0.787,0.213,"  Yes Karen, I mean Christina...that's exactly what he's talking about.",Mention,Male,True
47,Neutral,0.0,True,0.0,984969226749468673,-0.6808,151967576,1518704639364980738,0.315,0.685,0.0,   What the hell are you saying? Try English.,Mention,Male,True
48,Neutral,0.0,False,0.0,38505682,0.6862,151967576,1518697079287074816,0.053,0.649,0.298,"    Don't Stop , Want Stop, Ever for our Rights all Rights and Respect. And Policy Change.",Mention,Male,True
49,Negative,-0.1666666666666666,False,0.4333333333333333,474545548,0.0,151967576,1518695309198733313,0.0,1.0,0.0,   also needs to sue Florida for passing congressional maps that eliminate 2 black voting districts,Mention,Male,True
50,Neutral,0.0,False,0.0,1063168788236042242,0.0,151967576,1518687159204597763,0.0,1.0,0.0,"    
  https://t.co/NRunjDwrd8",Mention,Male,True
51,Positive,0.8,False,0.7,717337177,0.4215,151967576,1518682996735451137,0.0,0.417,0.583,  lol,Mention,Male,True
52,Neutral,0.0,False,0.0,984969226749468673,0.0,151967576,1518682818829643776,0.0,1.0,0.0,   You will never learn.,Mention,Male,True
53,Positive,0.4,False,0.8,877341770081808385,-0.8002,151967576,1518682089012477952,0.217,0.681,0.101,"MEDIA ALERT:  and Bob Hilliard will hold a news conference tomorrow (4/26) at 2 PM ET to discuss the filing of a lawsuit in the death of Tyre Sampson, the 14-year-old who tragically fell to his death from the Orlando Free Fall ride at ICON Park on March 24. https://t.co/KCuBE6BYb5",Mention,Male,True
54,Positive,0.2,False,0.2,3926697793,0.7964,151967576,1518676545434492929,0.0,0.855,0.145,"     If WE who believe in FREEdom can not rest was a picture I would include you all + me. Thanks to each of you for the WORK you do ForThePeople towards CivilRights in Media, Voting Rights &amp; Voter Education. UnitedWeWin LjHollowayForCongress 💪🏾⚖️🗳",Mention,Male,True
55,Neutral,0.0,False,0.0,804066628065431553,-0.4939,151967576,1518670488301707264,0.516,0.484,0.0, You are a disgrace,Mention,Male,True
56,Neutral,0.0,False,0.0,1242586450195087366,0.0,151967576,1518669482784350210,0.0,1.0,0.0, You need to be voted out also,Mention,Male,True
57,Neutral,0.0,False,0.0,1355953670,-0.3818,151967576,1518663775154577410,0.464,0.536,0.0, Fight the power,Mention,Male,True
58,Neutral,0.0,False,0.0,890539558865182720,0.0,151967576,1518657812087324673,0.0,1.0,0.0,_MD                    ,Mention,Male,True
59,Negative,-0.6333333333333332,False,0.6888888888888888,717337177,-0.9042,151967576,1518644523278213120,0.505,0.495,0.0, all these whyt people on here are disgusting talking bad about a dead child,Mention,Male,True
60,Neutral,0.0,False,0.0,717337177,0.0,151967576,1518644307414159361,0.0,1.0,0.0,   You’re a troll 😈,Mention,Male,True
61,Negative,-0.5,False,0.9,717337177,-0.4767,151967576,1518644116900483072,0.147,0.853,0.0,   He don’t know the rules. He is a child. An employee does. What is wrong with you?,Mention,Male,True
62,Neutral,0.0,False,0.0,1328159191773700096,0.0,151967576,1518640604795838466,0.0,1.0,0.0, https://t.co/zeO2VHyAUJ,Mention,Male,True
63,Negative,-0.25,False,0.1999999999999999,1328159191773700096,-0.5423,151967576,1518634197203750913,0.412,0.588,0.0,"  Oof, big fail. https://t.co/ymW5d5Nlse",Mention,Male,True
64,Positive,0.5,False,0.8888888888888888,1328159191773700096,0.5719,151967576,1518632350728523778,0.0,0.63,0.37," Make sure you play the race card, grifter crump.",Mention,Male,True
65,Negative,-0.5,True,0.6,812065854,-0.8011,151967576,1518630371847557120,0.444,0.556,0.0,"Check out 🖤💜Melissa🖤💜's video! TikTok https://t.co/cMGXiwf6v9
 
Fuck the goddamn police!",Mention,Male,True
66,Neutral,0.0,False,0.0,1249777753337012224,0.0,151967576,1518623311726628864,0.0,1.0,0.0,,Mention,Male,True
67,Positive,0.85,False,1.0,3308827023,0.5994,151967576,1518622575152226307,0.0,0.506,0.494,    Beautiful,Mention,Male,True
68,Negative,-0.75,False,0.75,3434298399,-0.8481,151967576,1518615626641780736,0.242,0.758,0.0,"BREAKING:  and  are among the attorneys that filed a lawsuit moments ago on behalf of the family of Tyre Sampson, 14, whose tragic death in March at the  stunned the nation.  lawtwitter 
https://t.co/xgOcVNei0Q",Mention,Male,True
69,Negative,-0.1666666666666666,False,0.4333333333333333,470283065,0.0,151967576,1518612549905928195,0.0,1.0,0.0, _dem               _2 _OldGeezer1950  Those boys don’t know it means you can’t teach black history.,Mention,Male,True
70,Neutral,0.0,False,0.0,1061123857,0.0,151967576,1518611634297602048,0.0,1.0,0.0, ❤️💯,Mention,Male,True
71,Neutral,0.0,False,0.0,1458176120,-0.2263,151967576,1518608791000035329,0.174,0.826,0.0,Watch  press conference now re lawsuit against wellsfargo : https://t.co/ryBned1sF7,Mention,Male,True
72,Positive,0.1072727272727272,True,0.2692424242424242,65168928,0.5319,151967576,1518600118307803137,0.0,0.928,0.072,   _NLG   It’s the same thing released the day of the shooting… it’s been over a week and nothing new as came to light? My daughter called your office last week and still hasn’t received a call back.   WE NEED HELP,Mention,Male,True
73,Neutral,0.0,False,0.0,1237524714152759301,0.0,151967576,1518595914717437956,0.0,1.0,0.0,    Power.,Mention,Male,True
74,Neutral,0.0,False,0.0,1249777753337012224,0.0,151967576,1518594734654173184,0.0,1.0,0.0, https://t.co/Yjnu6kybgu,Mention,Male,True
75,Neutral,0.0,False,0.0,2410178711,-0.6562,151967576,1518592529465233409,0.193,0.683,0.124,  Please understand that there is no heaven that people go to immediately after death because if that was the case there would be no need for a resurrection and a judgment. We should continue helping the people of Ukraine and also fix the water problem in Flint Michigan as well!!!!,Mention,Male,True
76,Neutral,0.0,False,0.0,2276474864,0.0,151967576,1518577877410848770,0.0,1.0,0.0,       https://t.co/99dYBa5tOL,Mention,Male,True
77,Neutral,0.0,False,0.0,1241763048995635200,0.0,151967576,1518565005402292225,0.0,1.0,0.0,  🤦🏼,Mention,Male,True
78,Negative,-0.1,False,0.475,24600821,-0.7003,151967576,1518564156911370245,0.188,0.812,0.0,   imagine if we were all judged by a childhood mistake to be destined to be a career criminal requiring police intervention to be “scared straight” …🤦🏾‍♀️,Mention,Male,True
79,Neutral,0.0,False,0.0,888672024,0.0,151967576,1518557570209824768,0.0,1.0,0.0,    ❤️,Mention,Male,True
80,Neutral,0.0,False,0.0,25878163,0.0,151967576,1518542400649678848,0.0,1.0,0.0, Awwww!🤗,Mention,Male,True
81,Neutral,0.0,False,0.0,2346523186,0.0,151967576,1518538351510441985,0.0,1.0,0.0,    https://t.co/OPnCgTY3Yl,Mention,Male,True
82,Neutral,0.0,False,0.0,1079429091546316800,0.0,151967576,1518537033572130816,0.0,1.0,0.0,    ❤❤❤❤❤,Mention,Male,True
83,Neutral,0.0,False,0.0,1286161147,0.7644,151967576,1518521343117045760,0.0,0.577,0.423,    This photo brings hope and inspiration! ❤️,Mention,Male,True
84,Positive,0.175,False,0.4916666666666666,1364756283186905089,-0.9711,151967576,1518507896371359744,0.376,0.519,0.105,"  Yes. I know there are some good cops, but the killer ones are giving them all a bad name. People complain about cop killers, BUT so much of the time, some cops have harassed the shooters of cops one too many times.",Mention,Male,True
85,Negative,-0.0431972789115646,False,0.6292517006802721,1364756283186905089,0.2975,151967576,1518507403360227329,0.161,0.627,0.212,"  No, Michele, it is not ""just you"". It seems to me they are targeting black people in general, with college students a favorite ""category"". They probably play it like a game and get ""bonus points"" when killing certain one. It is the most disgusting thing I've ever seen.",Mention,Male,True
86,Positive,0.25,False,0.25,1364756283186905089,0.128,151967576,1518506756305006593,0.0,0.903,0.097,  I would bet that most (if not all) do belong to a white supremacist group.,Mention,Male,True
87,Positive,0.2104166666666666,False,0.5125,1364756283186905089,-0.474,151967576,1518506508358754306,0.18,0.687,0.133,  Every time an innocent person is shot in the street by cops with NO cause for it we should all be screaming for JUSTICE from Law Enforcement. Labeling people of other races does not work and in the long run causes more murders of innocent people. Should have stopped LONG AGO!,Mention,Male,True
88,Positive,0.5,True,0.7,1364756283186905089,-0.6734,151967576,1518505923555348481,0.277,0.576,0.147,   knows there are millions who support him and his work for all the innocent victims of murder by cops who don't care.,Mention,Male,True
89,Negative,-0.375,True,0.625,1364756283186905089,-0.9184,151967576,1518505483031781379,0.317,0.683,0.0,   Hundreds of them have been getting away with exactly that. It is sickening. They shoot to kill people they know NOTHING about and it needs to stop (years ago!).,Mention,Male,True
90,Positive,0.49375,False,0.5874999999999999,1364756283186905089,-0.7088,151967576,1518505003400540160,0.204,0.728,0.067,  Exactly. They just look at a person and think they perceive what kind of person they see. We need to prosecute more cops who are murdering innocent people!,Mention,Male,True
91,Neutral,0.0,True,1.0,1364756283186905089,0.3578,151967576,1518504673656905729,0.111,0.725,0.164," Thank God Finally!! These renegade cops who think they are ""GOD"" and that any assumption they have about any person will be correct MUST be stopped. People like this should be in prison, NOT working for ""Law Enforcement"".",Mention,Male,True
92,Neutral,0.0,False,0.0,229552128,0.0,151967576,1518500825424961536,0.0,1.0,0.0,    ❤️❤️❤️,Mention,Male,True
93,Positive,0.3546875,False,0.475,229552128,0.9802,151967576,1518499312568872962,0.0,0.507,0.493,If you need a little hope…Here’s a photo of the legal dream team and my friends. Having lunch with these Brilliant legal minds that love justice and love our people! ⁦ ⁦⁩ ⁦⁩. Love is an action word. ❤️ https://t.co/hQJxKsl93e,Mention,Male,True
94,Negative,-0.11875,False,0.6125,1300517639639498752,-0.9404,151967576,1518456196394532864,0.336,0.591,0.073," Ben, 17 deaths per 100k is an awfully low number. While a child birth death is tragic to any mother and family, to sound the alarm like the numbers are out of control and call it a crisis is extremely misleading. jmo",Mention,Male,True
95,Positive,0.45,False,0.6784722222222221,879405971935698944,0.9287,151967576,1518439149409234944,0.0,0.599,0.401," 1 it's a girl 2 children need encouragement, positivity and kind words 3 I too am sure she will have a bright future in whatever she chooses to do.",Mention,Male,True
96,Neutral,0.0,False,0.5333333333333333,1267765026665803776,-0.8221,151967576,1518436265305292806,0.27,0.608,0.122," The death rate of women during pregnancy is extremely low in the US, so 3x of basically nothing is also basically nothing.

This misleads at best, and at worst makes uninformed followers dream up conspiracy theories.",Mention,Male,True
97,Positive,0.2,True,0.3,42430870,-0.9531,151967576,1518415637546258432,0.448,0.552,0.0,"   Think the real problem is racism and the history burning bodies hanging from tress,  murder, rape and I could go on forever",Mention,Male,True
98,Negative,-0.5,False,0.55,970196622,-0.5267,151967576,1518411652475113473,0.274,0.726,0.0,_Flynn1405  You are a disgusting human for even typing this.,Mention,Male,True
99,Negative,-0.0333333333333333,True,0.5666666666666668,42430870,-0.8055,151967576,1518392569226481664,0.192,0.761,0.047,   You wyt ppl kill me with that shit why not just don’t  shoot someone. Is it because young wyt kids not getting shot even though we see countless videos of them not complying,Mention,Male,True
100,Negative,-0.1666666666666666,False,0.4333333333333333,1492315442052018176,0.0,151967576,1518390144818384896,0.0,1.0,0.0,"BlackHistoryandConnections Black
blackexcellence BlackOwned BlackLivesMatter ReparationsNow BlackHistoryMonth Freedmen BHM  _LDF      https://t.co/RueTsNwCRn",Mention,Male,True
101,Negative,-0.1666666666666666,False,0.4333333333333333,1492315442052018176,0.0,151967576,1518390006418743305,0.0,1.0,0.0,"BlackHistoryandConnections Black
blackexcellence BlackOwned BlackLivesMatter ReparationsNow BlackHistoryMonth Freedmen BHM  _LDF      https://t.co/4WQXRZrvdQ",Mention,Male,True
102,Negative,-0.1666666666666666,False,0.4333333333333333,1492315442052018176,0.0,151967576,1518389873052319744,0.0,1.0,0.0,"BlackHistoryandConnections Black
blackexcellence BlackOwned BlackLivesMatter ReparationsNow BlackHistoryMonth Freedmen BHM  _LDF      https://t.co/DDitVJNO5s",Mention,Male,True
103,Negative,-0.1666666666666666,False,0.4333333333333333,1492315442052018176,0.0,151967576,1518389214894776321,0.0,1.0,0.0,"BlackHistoryandConnections Black
blackexcellence BlackOwned BlackLivesMatter ReparationsNow BlackHistoryMonth Freedmen BHM  _LDF      https://t.co/OvtjmxoZ8d",Mention,Male,True
104,Negative,-0.1666666666666666,False,0.4333333333333333,1492315442052018176,0.0,151967576,1518388971432300544,0.0,1.0,0.0,"BlackHistoryandConnections Black
blackexcellence BlackOwned BlackLivesMatter ReparationsNow BlackHistoryMonth Freedmen BHM  _LDF      https://t.co/qDUdI32gPT",Mention,Male,True
105,Negative,-0.1666666666666666,False,0.4333333333333333,1492315442052018176,0.0,151967576,1518388836237295616,0.0,1.0,0.0,"BlackHistoryandConnections Black
blackexcellence BlackOwned BlackLivesMatter ReparationsNow BlackHistoryMonth Freedmen BHM  _LDF      https://t.co/zl1yD0YMls",Mention,Male,True
106,Negative,-0.1666666666666666,False,0.4333333333333333,1492315442052018176,0.0,151967576,1518388380798787587,0.0,1.0,0.0,"BlackHistoryandConnections Black
blackexcellence BlackOwned BlackLivesMatter ReparationsNow BlackHistoryMonth Freedmen BHM  _LDF      https://t.co/l9Kt6Q1F7X",Mention,Male,True
107,Negative,-0.1666666666666666,False,0.4333333333333333,1492315442052018176,0.0,151967576,1518388165903540227,0.0,1.0,0.0,"BlackHistoryandConnections Black
blackexcellence BlackOwned BlackLivesMatter ReparationsNow BlackHistoryMonth Freedmen BHM  _LDF      https://t.co/N0WgpgRT5k",Mention,Male,True
108,Negative,-0.1666666666666666,False,0.4333333333333333,1492315442052018176,0.0,151967576,1518388057015214082,0.0,1.0,0.0,"BlackHistoryandConnections Black
blackexcellence BlackOwned BlackLivesMatter ReparationsNow BlackHistoryMonth Freedmen BHM  _LDF      https://t.co/hnE3io3CH0",Mention,Male,True
109,Negative,-0.1666666666666666,False,0.4333333333333333,1492315442052018176,0.0,151967576,1518387913150672896,0.0,1.0,0.0,"BlackHistoryandConnections Black
blackexcellence BlackOwned BlackLivesMatter ReparationsNow BlackHistoryMonth Freedmen BHM  _LDF      https://t.co/OjeuG71uOn",Mention,Male,True
110,Negative,-0.1666666666666666,False,0.4333333333333333,1492315442052018176,0.0,151967576,1518387735588970497,0.0,1.0,0.0,"BlackHistoryandConnections Black
blackexcellence BlackOwned BlackLivesMatter ReparationsNow BlackHistoryMonth Freedmen BHM  _LDF      https://t.co/NvzuugZvnL",Mention,Male,True
111,Negative,-0.1666666666666666,False,0.4333333333333333,1492315442052018176,0.0,151967576,1518387407913107456,0.0,1.0,0.0,"BlackHistoryandConnections Black
blackexcellence BlackOwned BlackLivesMatter ReparationsNow BlackHistoryMonth Freedmen BHM  _LDF      https://t.co/bG3gyvL9qu",Mention,Male,True
112,Negative,-0.1666666666666666,False,0.4333333333333333,1492315442052018176,0.0,151967576,1518386949077229568,0.0,1.0,0.0,"BlackHistoryandConnections Black
blackexcellence BlackOwned BlackLivesMatter ReparationsNow BlackHistoryMonth Freedmen BHM  _LDF      https://t.co/Wpx8XsXWLD",Mention,Male,True
113,Negative,-0.1666666666666666,False,0.4333333333333333,1492315442052018176,0.0,151967576,1518386640305147904,0.0,1.0,0.0,"BlackHistoryandConnections Black
blackexcellence BlackOwned BlackLivesMatter ReparationsNow BlackHistoryMonth Freedmen BHM  _LDF      https://t.co/uPSKivSCNm",Mention,Male,True
114,Negative,-0.1666666666666666,False,0.4333333333333333,1492315442052018176,0.0,151967576,1518386497522745344,0.0,1.0,0.0,"BlackHistoryandConnections Black
blackexcellence BlackOwned BlackLivesMatter ReparationsNow BlackHistoryMonth Freedmen BHM  _LDF      https://t.co/gjvYPtITo1",Mention,Male,True
115,Negative,-0.1666666666666666,False,0.4333333333333333,1492315442052018176,0.0,151967576,1518386133540827137,0.0,1.0,0.0,"BlackHistoryandConnections Black
blackexcellence BlackOwned BlackLivesMatter ReparationsNow BlackHistoryMonth Freedmen BHM  _LDF      https://t.co/sDoXttKd7V",Mention,Male,True
116,Negative,-0.1666666666666666,False,0.4333333333333333,1492315442052018176,0.0,151967576,1518385861729128448,0.0,1.0,0.0,"BlackHistoryandConnections Black
blackexcellence BlackOwned BlackLivesMatter ReparationsNow BlackHistoryMonth Freedmen BHM  _LDF      https://t.co/9Z4hV0ydQB",Mention,Male,True
117,Positive,0.6,False,0.55,1502326314442706944,0.1103,151967576,1518385535206580226,0.09,0.793,0.117,"  Either an applicant can prove they have the means to repay a loan or they cannot. That means good credit score, assets to debt ratio and sustained gainful employment of more than 6 months. It is not discrimination to deny lending to those who cannot meet that criteria.",Mention,Male,True
118,Negative,-0.1666666666666666,False,0.4333333333333333,1492315442052018176,0.0,151967576,1518384703778217984,0.0,1.0,0.0,"BlackHistoryandConnections Black
blackexcellence BlackOwned BlackLivesMatter ReparationsNow BlackHistoryMonth Freedmen BHM  _LDF      https://t.co/rTDH8fKeBp",Mention,Male,True
119,Negative,-0.1666666666666666,False,0.4333333333333333,1492315442052018176,0.0,151967576,1518384574912421888,0.0,1.0,0.0,"BlackHistoryandConnections Black
blackexcellence BlackOwned BlackLivesMatter ReparationsNow BlackHistoryMonth Freedmen BHM  _LDF      https://t.co/pomRx78fIw",Mention,Male,True
